원본질문데이터	원본정답데이터	작업자질문데이터	작업자정답데이터	VALUE	property	resource	보기	작업데이터	OX작업번호	OX작업
로맨스 조'의 감독은(는) 누구인가요?	로맨스 조'의 감독은(는) 이광국(이)에요.	로맨스 조'의 영화제작을 지휘하시는 분은 누구인가요?	로맨스 조'의 지휘하시는 분은 이광국에요	이광국	감독	로맨스 조	로맨스 조'의 감독은(는) 이광국(이)에요.	로맨스 조'의 지휘하시는 분은 이광국에요	474	"A,O,X"
미쓰 홍당무'의 감독은(는) 누구인가요?	미쓰 홍당무'의 감독은(는) 이경미(이)에요.	미쓰 홍당무라는 영화를 촬영한 사람이 누구인가요?	미쓰 홍당무를 촬영한 사람은 이경미에요.	이경미	감독	미쓰 홍당무	미쓰 홍당무'의 감독은(는) 이경미(이)에요.	미쓰 홍당무를 촬영한 사람은 이경미에요.	462	"A,O,A"
슈퍼스타 감사용'의 감독은(는) 누구인가요?	슈퍼스타 감사용'의 감독은(는) 김종현 (영화인)(이)에요.	슈퍼스타 감사용을 제작한 감독은 누구인가요?	슈퍼스타 감사용은 김종현(영화인) 감독에 의해 제작되었어요.	김종현 (영화인)	감독	슈퍼스타 감사용	슈퍼스타 감사용'의 감독은(는) 누구인가요?	슈퍼스타 감사용을 제작한 감독은 누구인가요?	113	"O,A,O"
불새의 춤'의 감독은(는) 누구인가요?	불새의 춤'의 감독은(는) 강대하(이)에요.	불새의 춤'의 감독 이름은 무엇이에요?	불새의 춤'의 감독 이름은 강대하에요.	강대하	감독	불새의 춤	불새의 춤'의 감독은(는) 강대하(이)에요.	불새의 춤'의 감독 이름은 강대하에요.	10	"O,O,O"
매혹 (1991년 영화)'의 감독은(는) 누구인가요?	매혹 (1991년 영화)'의 감독은(는) 박수일(이)에요.	누가 매혹을 감독했나요?	매혹은 박수일이 감독했어요.	박수일	감독	매혹 (1991년 영화)	매혹 (1991년 영화)'의 감독은(는) 박수일(이)에요.	매혹은 박수일이 감독했어요.	256	"O,O,O"
땡삐 (영화)'의 감독은(는) 누구인가요?	땡삐 (영화)'의 감독은(는) 이운철(이)에요.	땡삐 (영화)의 감독은 누구예요?	땡삐 (영화)의 감독은 이운철이예요.	이운철	감독	땡삐 (영화)	땡삐 (영화)'의 감독은(는) 누구인가요?	땡삐 (영화)의 감독은 누구예요?	517	"O,O,O"
'오늘영화'의 감독은(는) 누구인가요?	"'오늘영화'의 감독은(는) 윤성호, 강경태, 구교환, 이옥섭(이)에요."	'오늘영화'는 누가 감독했나요?	"'오늘영화'의 감독은 이옥섭,구교환,강경태,윤성호 예요."	"윤성호, 강경태, 구교환, 이옥섭"	감독	오늘영화	'오늘영화'의 감독은(는) 누구인가요?	'오늘영화'는 누가 감독했나요?	449	"O,O,O"
석양의 10번가'의 감독은(는) 누구인가요?	석양의 10번가'의 감독은(는) 강대진(이)에요.	석양의 10번가는 누가 감독했나요?	석양의 10번가는 강대진이 감독한 작품이에요.	강대진	감독	석양의 10번가	석양의 10번가'의 감독은(는) 강대진(이)에요.	석양의 10번가는 강대진이 감독한 작품이에요.	2	"O,O,O"
'아가씨'의 감독은(는) 누구인가요?	'아가씨'의 감독은(는) 박찬욱(이)에요.	'아가씨'의 디렉터는 누구인가요?	'아가씨'의 디렉터는 박찬욱에요	박찬욱	감독	아가씨	'아가씨'의 감독은(는) 박찬욱(이)에요.	'아가씨'의 디렉터는 박찬욱에요	282	"O,O,O"
슈퍼스타 감사용'의 감독은(는) 누구인가요?	슈퍼스타 감사용'의 감독은(는) 김종현 (영화인)(이)에요.	슈퍼스타 감사용의 감독의 이름은 무엇인가요?	슈퍼스타 감사용을 제작한 김독의 이름은 김종현(영화인)이예요.	김종현 (영화인)	감독	슈퍼스타 감사용	슈퍼스타 감사용'의 감독은(는) 누구인가요?	슈퍼스타 감사용의 감독의 이름은 무엇인가요?	115	"O,O,O"
로맨스 조'의 감독은(는) 누구인가요?	로맨스 조'의 감독은(는) 이광국(이)에요.	로맨스 조'의 영화제작을 지휘하시는 분은 누구인가요?	로맨스 조'의 지휘하시는 분은 이광국에요	이광국	감독	로맨스 조	로맨스 조'의 감독은(는) 누구인가요?	로맨스 조'의 영화제작을 지휘하시는 분은 누구인가요?	473	"O,A,O"
카멜레온의 시'의 감독은(는) 누구인가요?	카멜레온의 시'의 감독은(는) 노세한(이)에요.	누가 카멜레온의 시'를 감독했나요?	카멜레온의 시'는 노세한이 감독했어요	노세한	감독	카멜레온의 시	카멜레온의 시'의 감독은(는) 노세한(이)에요.	카멜레온의 시'는 노세한이 감독했어요	184	"O,O,O"
스페이스 간담 V'의 감독은(는) 누구인가요?	스페이스 간담 V'의 감독은(는) 김청기(이)에요.	스페이스 간담v의 감독의 이름을 답해주세요.	스페이스 간담v를 만든 감독은 김청기에요.	김청기	감독	스페이스 간담 V	스페이스 간담 V'의 감독은(는) 누구인가요?	스페이스 간담v의 감독의 이름을 답해주세요.	123	"X,O,O"
'댄스댄스'의 감독은(는) 누구인가요?	'댄스댄스'의 감독은(는) 문성욱(이)에요.	누가 댄스댄스를 만들었나요?	문성욱은 댄스댄스의 감독이에요.	문성욱	감독	댄스댄스	'댄스댄스'의 감독은(는) 누구인가요?	누가 댄스댄스를 만들었나요?	217	"A,A,O"
특근 (2016년 영화)'의 감독은(는) 누구인가요?	특근 (2016년 영화)'의 감독은(는) 김건(이)에요.	특근(2016년 영화)은 누구의 작품인가요?	특근(2016년 영화)은 감독 김건의 작품이에요.	김건	감독	특근 (2016년 영화)	특근 (2016년 영화)'의 감독은(는) 누구인가요?	특근(2016년 영화)은 누구의 작품인가요?	47	"O,A,A"
맛있는 덫 - 정사'의 감독은(는) 누구인가요?	맛있는 덫 - 정사'의 감독은(는) 신정균(이)에요.	맛있는 덫 - 정사는 누가 감독했나요?	맛있는 덫 - 정사 연출자는 신정균이에요.	신정균	감독	맛있는 덫 - 정사	맛있는 덫 - 정사'의 감독은(는) 누구인가요?	맛있는 덫 - 정사는 누가 감독했나요?	353	"O,O,O"
3일낮 3일밤'의 감독은(는) 누구인가요?	3일낮 3일밤'의 감독은(는) 이원세(이)에요.	3일낮 3일밤'은 누구의 작품인가요?	3일낮 3일밤'은 이원세감독이 만들었어요	이원세	감독	3일낮 3일밤	3일낮 3일밤'의 감독은(는) 이원세(이)에요.	3일낮 3일밤'은 이원세감독이 만들었어요	522	"O,O,O"
이노센스 (애니메이션 영화)'의 감독은(는) 누구인가요?	이노센스 (애니메이션 영화)'의 감독은(는) 오시이 마모루(이)에요.	애니메이션 이노센스의 감독이 누구인가요?	이노센스는 오시이 마모루가 감독이에요.	오시이 마모루	감독	이노센스 (애니메이션 영화)	이노센스 (애니메이션 영화)'의 감독은(는) 오시이 마모루(이)에요.	이노센스는 오시이 마모루가 감독이에요.	420	"O,O,O"
정글 스토리'의 감독은(는) 누구인가요?	정글 스토리'의 감독은(는) 김홍준(이)에요.	'정글 스토리'를 제작한 감독은 누구인가요?	'정글 스토리'를 제작한 감독은 김홍준이에요.	김홍준	감독	정글 스토리	정글 스토리'의 감독은(는) 누구인가요?	'정글 스토리'를 제작한 감독은 누구인가요?	145	"O,A,O"
'48미터'의 감독은(는) 누구인가요?	'48미터'의 감독은(는) 민백두(이)에요.	48미터 라는 영화를 제작한 이는 누구인가요?	48미터 라는 영화를 제작한 이는 민백두에요.	민백두	감독	48미터	'48미터'의 감독은(는) 민백두(이)에요.	48미터 라는 영화를 제작한 이는 민백두에요.	240	"A,O,O"
패밀리마트 (영화)'의 감독은(는) 누구인가요?	패밀리마트 (영화)'의 감독은(는) 김건(이)에요.	패밀리마트를 제작한 감독은 누구인가요?	패밀리마트를 제작한 감독은 김건이에요.	김건	감독	패밀리마트 (영화)	패밀리마트 (영화)'의 감독은(는) 김건(이)에요.	패밀리마트를 제작한 감독은 김건이에요.	52	"O,O,O"
외계에서 온 우뢰매'의 감독은(는) 누구인가요?	외계에서 온 우뢰매'의 감독은(는) 김청기(이)에요.	'외계에서 온 우뢰매'는 어떤 사람의 작품인가요?	'외계에서 온 우뢰매'를 만든 감독은 김청기라는 사람이에요.	김청기	감독	외계에서 온 우뢰매	외계에서 온 우뢰매'의 감독은(는) 김청기(이)에요.	'외계에서 온 우뢰매'를 만든 감독은 김청기라는 사람이에요.	126	"O,O,O"
미술관 옆 동물원'의 감독은(는) 누구인가요?	미술관 옆 동물원'의 감독은(는) 이정향(이)에요.	'미술관 옆 동물원'은 누구의 작품인가요?	'미술관 옆 동물원'은 감독 이정향의 작품이에요.	이정향	감독	미술관 옆 동물원	미술관 옆 동물원'의 감독은(는) 이정향(이)에요.	'미술관 옆 동물원'은 감독 이정향의 작품이에요.	552	"O,O,O"
가족시네마 (2012년 영화)'의 감독은(는) 누구인가요?	"가족시네마 (2012년 영화)'의 감독은(는) 신수원, 홍지영, 이수연, 김성호(이)에요."	가족시네마 (2012년 영화)'는 어느 감독의 영화인가요?	"가족시네마 (2012년 영화)'는 신수원, 홍지영, 이수연, 김성호가 감독을 맡은 영화라고 해요"	"신수원, 홍지영, 이수연, 김성호"	감독	가족시네마 (2012년 영화)	가족시네마 (2012년 영화)'의 감독은(는) 누구인가요?	가족시네마 (2012년 영화)'는 어느 감독의 영화인가요?	343	"O,O,O"
"로봇, 소리'의 감독은(는) 누구인가요?"	"로봇, 소리'의 감독은(는) 이호재(이)에요."	"로봇,소리의 제작 과정을 책임진 사람은 누구인가요?"	"로봇,소리의 제작과정을 책임진 사람은 이호재에요."	이호재	감독	"로봇, 소리"	"로봇, 소리'의 감독은(는) 누구인가요?"	"로봇,소리의 제작 과정을 책임진 사람은 누구인가요?"	575	"A,A,O"
파라다이스 빌라'의 감독은(는) 누구인가요?	파라다이스 빌라'의 감독은(는) 박종원 (1960년)(이)에요.	파라다이스 빌라를 감독한 사람의 이름은 무엇인가요?	파라다이스 빌라 감독을 한 사람은 박종원(1960년)이에요	박종원 (1960년)	감독	파라다이스 빌라	파라다이스 빌라'의 감독은(는) 박종원 (1960년)(이)에요.	파라다이스 빌라 감독을 한 사람은 박종원(1960년)이에요	272	"O,O,O"
'연풍연가'의 감독은(는) 누구인가요?	'연풍연가'의 감독은(는) 박대영(이)에요.	'연풍연가'를 제작한 사람은 누구인가요?	'연풍연가'를 제작한 사람은 박대영 감독이에요	박대영	감독	연풍연가	'연풍연가'의 감독은(는) 박대영(이)에요.	'연풍연가'를 제작한 사람은 박대영 감독이에요	250	"O,O,O"
크리스마스에 기적을 만날 확률'의 감독은(는) 누구인가요?	크리스마스에 기적을 만날 확률'의 감독은(는) 곤 사토시(이)에요.	크리스마스에 기적을 만날 확률의 메가폰을 잡은 사람은 누구인가요?	곤 사토시 감독이 크리스마스에 기적을 만날 확률의 메가폰을 잡았어요.	곤 사토시	감독	크리스마스에 기적을 만날 확률	크리스마스에 기적을 만날 확률'의 감독은(는) 누구인가요?	크리스마스에 기적을 만날 확률의 메가폰을 잡은 사람은 누구인가요?	23	"O,O,X"
그 후로도 오랫동안'의 감독은(는) 누구인가요?	그 후로도 오랫동안'의 감독은(는) 곽지균(이)에요.	'그 후로도 오랫동안'을 감독한 사람은 어떤 사람이 감독했을까요?	곽지균 감독이 '그 후로도 오랫동안'을 감독했어요.	곽지균	감독	그 후로도 오랫동안	그 후로도 오랫동안'의 감독은(는) 누구인가요?	'그 후로도 오랫동안'을 감독한 사람은 어떤 사람이 감독했을까요?	31	"X,O,O"
캡틴 아메리카: 윈터 솔져'의 감독은(는) 누구인가요?	캡틴 아메리카: 윈터 솔져'의 감독은(는) 앤서니 루소(이)에요.	캡틴 아메리카: 윈터 솔져'의 감독 이름을 쓰세요.	캡틴 아메리카: 윈터 솔져'의 감독 이름은 앤서니 루소에요.	앤서니 루소	감독	캡틴 아메리카: 윈터 솔져	캡틴 아메리카: 윈터 솔져'의 감독은(는) 앤서니 루소(이)에요.	캡틴 아메리카: 윈터 솔져'의 감독 이름은 앤서니 루소에요.	398	"O,O,O"
대학촌의 달빛'의 감독은(는) 누구인가요?	대학촌의 달빛'의 감독은(는) 노세한(이)에요.	대학촌의 달빛은 누가 연출했나요?	대학촌의 달빛은 노세한 연출이 만들었어요.	노세한	감독	대학촌의 달빛	대학촌의 달빛'의 감독은(는) 누구인가요?	대학촌의 달빛은 누가 연출했나요?	177	"O,O,A"
캡틴 아메리카: 윈터 솔져'의 감독은(는) 누구인가요?	캡틴 아메리카: 윈터 솔져'의 감독은(는) 앤서니 루소(이)에요.	캡틴 아메리카: 윈터 솔져'의 감독 이름을 쓰세요.	캡틴 아메리카: 윈터 솔져'의 감독 이름은 앤서니 루소에요.	앤서니 루소	감독	캡틴 아메리카: 윈터 솔져	캡틴 아메리카: 윈터 솔져'의 감독은(는) 누구인가요?	캡틴 아메리카: 윈터 솔져'의 감독 이름을 쓰세요.	397	"X,O,O"
'오구'의 감독은(는) 누구인가요?	'오구'의 감독은(는) 이윤택(이)에요.	오구의 디렉터는 누구인가요?	오구는 이윤택이 감독한 작품이에요	이윤택	감독	오구	'오구'의 감독은(는) 누구인가요?	오구의 디렉터는 누구인가요?	535	"O,O,O"
석양의 10번가'의 감독은(는) 누구인가요?	석양의 10번가'의 감독은(는) 강대진(이)에요.	석양의 10번가는 어떤 사람이 감독을 맡았나요?	강대진 감독이 석양의 10번가를 만들었어요.	강대진	감독	석양의 10번가	석양의 10번가'의 감독은(는) 누구인가요?	석양의 10번가는 어떤 사람이 감독을 맡았나요?	3	"O,O,O"
'오구'의 감독은(는) 누구인가요?	'오구'의 감독은(는) 이윤택(이)에요.	오구의 디렉터는 누구인가요?	오구는 이윤택이 감독한 작품이에요	이윤택	감독	오구	'오구'의 감독은(는) 이윤택(이)에요.	오구는 이윤택이 감독한 작품이에요	536	"O,O,O"
미쓰 홍당무'의 감독은(는) 누구인가요?	미쓰 홍당무'의 감독은(는) 이경미(이)에요.	미쓰 홍당무는 누구의 지휘 아래에 만들어진 영화인가요?	이경미 감독이 미쓰 홍당무의 제작을 지휘한 사람이에요.	이경미	감독	미쓰 홍당무	미쓰 홍당무'의 감독은(는) 누구인가요?	미쓰 홍당무는 누구의 지휘 아래에 만들어진 영화인가요?	463	"O,X,X"
뛰는 자 나는 자'의 감독은(는) 누구인가요?	뛰는 자 나는 자'의 감독은(는) 심재석(이)에요.	뛰는 자 나는 자라는 영화는 누가 제작했나요?	뛰는 자 나는자는 심재석이 제작했어요.	심재석	감독	뛰는 자 나는 자	뛰는 자 나는 자'의 감독은(는) 누구인가요?	뛰는 자 나는 자라는 영화는 누가 제작했나요?	375	"O,A,A"
미스 줄리 (2014년 영화)'의 감독은(는) 누구인가요?	미스 줄리 (2014년 영화)'의 감독은(는) 리브 울만(이)에요.	2014년 영화 미스 줄리는 누가 감독했나요?	2014년 영화 미스 줄리는 리브 울만이 감독이에요.	리브 울만	감독	미스 줄리 (2014년 영화)	미스 줄리 (2014년 영화)'의 감독은(는) 리브 울만(이)에요.	2014년 영화 미스 줄리는 리브 울만이 감독이에요.	202	"O,O,O"
지옥화 (2014년 영화)'의 감독은(는) 누구인가요?	지옥화 (2014년 영화)'의 감독은(는) 이상우 (영화 감독)(이)에요.	지옥화를 만들고 지휘한 사람은 누구인가요?	지옥화는 이상우가 지휘해서 만들었어요.	이상우 (영화 감독)	감독	지옥화 (2014년 영화)	지옥화 (2014년 영화)'의 감독은(는) 이상우 (영화 감독)(이)에요.	지옥화는 이상우가 지휘해서 만들었어요.	506	"A,O,X"
조총련 (영화)'의 감독은(는) 누구인가요?	조총련 (영화)'의 감독은(는) 박태원(이)에요.	누가 조총련(영화)를 감독했나요?	조총련(영화)는 박태원이 감독했어요	박태원	감독	조총련 (영화)	조총련 (영화)'의 감독은(는) 누구인가요?	누가 조총련(영화)를 감독했나요?	287	"O,O,X"
'국제경찰'의 감독은(는) 누구인가요?	'국제경찰'의 감독은(는) 고영남(이)에요.	국제경찰의 감독을 담당한 사람은 누구인가요?	국제경찰은 고영남이 감독을 했어요.	고영남	감독	국제경찰	'국제경찰'의 감독은(는) 고영남(이)에요.	국제경찰은 고영남이 감독을 했어요.	18	"O,O,O"
바시르와 왈츠를'의 감독은(는) 누구인가요?	바시르와 왈츠를'의 감독은(는) 아리 폴만(이)에요.	영화 바르시와 왈츠를의 감독이 누구인지 아시면 알려주세요	영화 바시르와 왈츠를의 감독은 아리 폴만이라네요	아리 폴만	감독	바시르와 왈츠를	바시르와 왈츠를'의 감독은(는) 아리 폴만(이)에요.	영화 바시르와 왈츠를의 감독은 아리 폴만이라네요	384	"O,O,O"
오늘밤은 참으세요'의 감독은(는) 누구인가요?	오늘밤은 참으세요'의 감독은(는) 박종호 (영화 감독)(이)에요.	오늘밤은 참으세요는 누가 연출했나요?	오늘밤은 참으세요는 박종호가 연출했어요.	박종호 (영화 감독)	감독	오늘밤은 참으세요	오늘밤은 참으세요'의 감독은(는) 누구인가요?	오늘밤은 참으세요는 누가 연출했나요?	273	"A,O,O"
외계에서 온 우뢰매'의 감독은(는) 누구인가요?	외계에서 온 우뢰매'의 감독은(는) 김청기(이)에요.	'외계에서 온 우뢰매'라는 영화감독으로 유명한 사람은 누구인가요?	'외계에서 온 우뢰매'는 김청기 감독의 작품이에요.	김청기	감독	외계에서 온 우뢰매	외계에서 온 우뢰매'의 감독은(는) 김청기(이)에요.	'외계에서 온 우뢰매'는 김청기 감독의 작품이에요.	128	"O,O,O"
대학촌의 달빛'의 감독은(는) 누구인가요?	대학촌의 달빛'의 감독은(는) 노세한(이)에요.	대학촌의 달빛의 제작을 총괄하신분은 누구인가요?	대학촌의 달빛을 총괄한 분은 노세한이에요.	노세한	감독	대학촌의 달빛	대학촌의 달빛'의 감독은(는) 누구인가요?	대학촌의 달빛의 제작을 총괄하신분은 누구인가요?	179	"O,A,O"
돌아와요 부산항애'의 감독은(는) 누구인가요?	돌아와요 부산항애'의 감독은(는) 박희준(이)에요.	돌아와요 부산항애는 누구의 감독으로 찍은 건가요?	돌아와요 부산항애를 박희준이 감독했어요.	박희준	감독	돌아와요 부산항애	돌아와요 부산항애'의 감독은(는) 박희준(이)에요.	돌아와요 부산항애를 박희준이 감독했어요.	304	"O,O,O"
'평양맨발'의 감독은(는) 누구인가요?	'평양맨발'의 감독은(는) 남기남(이)에요.	영화 평양맨발은 누가 만들었나요?	평양맨발의 감독 이름은 남기남이라고 해요	남기남	감독	평양맨발	'평양맨발'의 감독은(는) 남기남(이)에요.	평양맨발의 감독 이름은 남기남이라고 해요	166	"O,O,O"
"DMZ, 비무장지대'의 감독은(는) 누구인가요?"	"DMZ, 비무장지대'의 감독은(는) 이규형(이)에요."	"DMZ,비무장지대를 연출한 사람은 누구예요?"	"DMZ,비무장지대를 연출한 감독은 이규형이에요"	이규형	감독	"DMZ, 비무장지대"	"DMZ, 비무장지대'의 감독은(는) 누구인가요?"	"DMZ,비무장지대를 연출한 사람은 누구예요?"	483	"A,O,O"
'가수왕'의 감독은(는) 누구인가요?	가수왕'의 감독은(는) 김기덕 (1934년)(이)에요.	가수왕의 디렉터는 누구인가요?	가수왕은 김기덕(1934년)에의해 만들어졌어요	김기덕 (1934년)	감독	가수왕	가수왕'의 감독은(는) 김기덕 (1934년)(이)에요.	가수왕은 김기덕(1934년)에의해 만들어졌어요	60	"O,O,O"
미스 줄리 (2014년 영화)'의 감독은(는) 누구인가요?	미스 줄리 (2014년 영화)'의 감독은(는) 리브 울만(이)에요.	2014년 영화 미스 줄리를 찍은 감독 알아요?	리브 울만이 2014년 영화 미스 줄리를 찍었어요.	리브 울만	감독	미스 줄리 (2014년 영화)	미스 줄리 (2014년 영화)'의 감독은(는) 누구인가요?	2014년 영화 미스 줄리를 찍은 감독 알아요?	203	"X,X,O"
'아가씨'의 감독은(는) 누구인가요?	'아가씨'의 감독은(는) 박찬욱(이)에요.	'아가씨'의 디렉터는 누구인가요?	'아가씨'의 디렉터는 박찬욱에요	박찬욱	감독	아가씨	'아가씨'의 감독은(는) 누구인가요?	'아가씨'의 디렉터는 누구인가요?	281	"O,O,O"
보릿고개 (영화)'의 감독은(는) 누구인가요?	보릿고개 (영화)'의 감독은(는) 박용준(이)에요.	보릿고개는 누가 지휘해서 만들었나요?	보릿고개는 박용준이 지휘해서 만들었어요.	박용준	감독	보릿고개 (영화)	보릿고개 (영화)'의 감독은(는) 누구인가요?	보릿고개는 누가 지휘해서 만들었나요?	257	"O,O,A"
내 첫사랑을 너에게 바친다'의 감독은(는) 누구인가요?	내 첫사랑을 너에게 바친다'의 감독은(는) 신조 타케히코(이)에요.	"'내 첫사랑을 너에게 바친다""라는 영화는 누구의 작품인가요?"	"'내 첫사랑을 너에게 바친다""라는 영화를 감독한 사람은 신조 타케히코에요."	신조 타케히코	감독	내 첫사랑을 너에게 바친다	내 첫사랑을 너에게 바친다'의 감독은(는) 신조 타케히코(이)에요.	"'내 첫사랑을 너에게 바친다""라는 영화를 감독한 사람은 신조 타케히코에요."	358	"O,O,O"
카멜레온의 시'의 감독은(는) 누구인가요?	카멜레온의 시'의 감독은(는) 노세한(이)에요.	누가 카멜레온의 시'를 감독했나요?	카멜레온의 시'는 노세한이 감독했어요	노세한	감독	카멜레온의 시	카멜레온의 시'의 감독은(는) 누구인가요?	누가 카멜레온의 시'를 감독했나요?	183	"O,O,A"
미스터 콘돔'의 감독은(는) 누구인가요?	미스터 콘돔'의 감독은(는) 양윤호(이)에요.	누가 미스터 콘돔의 감독을 맡았나요?	양윤호가 미스터 콘돔을 감독했어요.	양윤호	감독	미스터 콘돔	미스터 콘돔'의 감독은(는) 누구인가요?	누가 미스터 콘돔의 감독을 맡았나요?	401	"O,O,O"
'기생령'의 감독은(는) 누구인가요?	'기생령'의 감독은(는) 고석진(이)에요.	누가 기생령을 감독했나요?	기생령은 고석진이 감독했어요.	고석진	감독	기생령	'기생령'의 감독은(는) 고석진(이)에요.	기생령은 고석진이 감독했어요.	16	"O,O,O"
미술관 옆 동물원'의 감독은(는) 누구인가요?	미술관 옆 동물원'의 감독은(는) 이정향(이)에요.	'미술관 옆 동물원'은 누구의 작품인가요?	'미술관 옆 동물원'은 감독 이정향의 작품이에요.	이정향	감독	미술관 옆 동물원	미술관 옆 동물원'의 감독은(는) 누구인가요?	'미술관 옆 동물원'은 누구의 작품인가요?	551	"X,O,A"
오스트레일리아 (영화)'의 감독은(는) 누구인가요?	오스트레일리아 (영화)'의 감독은(는) 배즈 루어먼(이)에요.	누가 오스트레일리아(영화)의 감독인가요?	배즈 루어먼이 오스트레일리아 (영화)의 감독이에요.	배즈 루어먼	감독	오스트레일리아 (영화)	오스트레일리아 (영화)'의 감독은(는) 누구인가요?	누가 오스트레일리아(영화)의 감독인가요?	307	"O,O,O"
연애소설 (영화)'의 감독은(는) 누구인가요?	연애소설 (영화)'의 감독은(는) 이한(이)에요.	영화 연애소설을 제작한 사람은 누구인가요?	영화 연애소설을 제작한 사람은 이한이에요.	이한	감독	연애소설 (영화)	연애소설 (영화)'의 감독은(는) 누구인가요?	영화 연애소설을 제작한 사람은 누구인가요?	561	"A,A,O"
매혹 (1991년 영화)'의 감독은(는) 누구인가요?	매혹 (1991년 영화)'의 감독은(는) 박수일(이)에요.	매혹은 누가 감독한 영화인가요?	박수일은 매혹의 감독이에요.	박수일	감독	매혹 (1991년 영화)	매혹 (1991년 영화)'의 감독은(는) 누구인가요?	매혹은 누가 감독한 영화인가요?	253	"O,O,O"
'탈주'의 감독은(는) 누구인가요?	'탈주'의 감독은(는) 이송희일(이)에요.	'탈주'를 누가 만들었나요?	'탈주'는 이송희일이 만들었어요.	이송희일	감독	탈주	'탈주'의 감독은(는) 이송희일(이)에요.	'탈주'는 이송희일이 만들었어요.	512	"O,O,O"
키위새의 겨울'의 감독은(는) 누구인가요?	키위새의 겨울'의 감독은(는) 김현명(이)에요.	'키위새의 겨울' 을 제작한 감독은 누구에요?	'키위새의 겨울'을 제작한 감독은 김현명이에요.	김현명	감독	키위새의 겨울	키위새의 겨울'의 감독은(는) 김현명(이)에요.	'키위새의 겨울'을 제작한 감독은 김현명이에요.	140	"O,O,O"
관제탑 (영화)'의 감독은(는) 누구인가요?	관제탑 (영화)'의 감독은(는) 미키 다카히로(이)에요.	관제탑을 지휘해서 만든 사람은 누구인가요?	관제탑은 미키 다카히로가 지휘해서 만들었어요.	미키 다카히로	감독	관제탑 (영화)	관제탑 (영화)'의 감독은(는) 누구인가요?	관제탑을 지휘해서 만든 사람은 누구인가요?	233	"O,A,A"
블레이드 러너'의 감독은(는) 누구인가요?	블레이드 러너'의 감독은(는) 리들리 스콧(이)에요.	블레이드 러너는 누가 만들었나요?	리들리 스콧은 블레이드 러너의 감독이에요.	리들리 스콧	감독	블레이드 러너	블레이드 러너'의 감독은(는) 누구인가요?	블레이드 러너는 누가 만들었나요?	195	"O,X,A"
더 웹툰: 예고살인'의 감독은(는) 누구인가요?	더 웹툰: 예고살인'의 감독은(는) 김용균 (1966년)(이)에요.	더 웹툰: 예고살인'은 어느 감독의 작품인가요?	더 웹툰: 예고살인'은 김용균 (1966년)감독의 작품이라고 해요	김용균 (1966년)	감독	더 웹툰: 예고살인	더 웹툰: 예고살인'의 감독은(는) 누구인가요?	더 웹툰: 예고살인'은 어느 감독의 작품인가요?	95	"O,O,O"
여기보다 어딘가에 (2008년 영화)'의 감독은(는) 누구인가요?	여기보다 어딘가에 (2008년 영화)'의 감독은(는) 김상만(이)에요.	여기보다 어딘가에 2008년 영화는 누가 만들었나요?	여기보다 어딘가에 2008년 영화는 김상만이 만들었어요.	김상만	감독	여기보다 어딘가에 (2008년 영화)	여기보다 어딘가에 (2008년 영화)'의 감독은(는) 누구인가요?	여기보다 어딘가에 2008년 영화는 누가 만들었나요?	81	"O,O,X"
'평양맨발'의 감독은(는) 누구인가요?	'평양맨발'의 감독은(는) 남기남(이)에요.	평양맨발의 감독님의 성함은 무엇인가요?	평양맨발을 만든 사람 이름은 남기남이에요	남기남	감독	평양맨발	'평양맨발'의 감독은(는) 누구인가요?	평양맨발의 감독님의 성함은 무엇인가요?	167	"O,O,O"
잃어버린 너'의 감독은(는) 누구인가요?	잃어버린 너'의 감독은(는) 원정수(이)에요.	잃어버린 너는 감독 누가 연출했나요?	잃어버린 너를 연출한 사람은 원정수감독이에요.	원정수	감독	잃어버린 너	잃어버린 너'의 감독은(는) 원정수(이)에요.	잃어버린 너를 연출한 사람은 원정수감독이에요.	442	"O,O,O"
남과 북 (1984년 영화)'의 감독은(는) 누구인가요?	남과 북 (1984년 영화)'의 감독은(는) 김기(이)에요.	남과 북 (1984년 영화은 누가 연출했나요?	남과 북 (1984년 영화)의 연출자는 김기이에요.	김기	감독	남과 북 (1984년 영화)	남과 북 (1984년 영화)'의 감독은(는) 누구인가요?	남과 북 (1984년 영화은 누가 연출했나요?	53	"A,O,O"
사랑할 때와 헤어질 때'의 감독은(는) 누구인가요?	사랑할 때와 헤어질 때'의 감독은(는) 이은(이)에요.	어떤 감독이 사랑할 때와 헤어질 때 를 만들었나요?	사랑할 때와 헤어질 때 감독 이름은 이은 이에요	이은	감독	사랑할 때와 헤어질 때	사랑할 때와 헤어질 때'의 감독은(는) 이은(이)에요.	사랑할 때와 헤어질 때 감독 이름은 이은 이에요	540	"O,O,O"
3일낮 3일밤'의 감독은(는) 누구인가요?	3일낮 3일밤'의 감독은(는) 이원세(이)에요.	3일낮 3일밤'을 만든사람은 누구인가요?	이원세감독은 3일낮 3일밤'을 만들었어요	이원세	감독	3일낮 3일밤	3일낮 3일밤'의 감독은(는) 이원세(이)에요.	이원세감독은 3일낮 3일밤'을 만들었어요	524	"O,O,O"
