원본질문데이터	원본정답데이터	작업자질문데이터	작업자정답데이터	VALUE	property	resource	초기작업번호	보기	작업데이터	OX작업번호	OX작업
'1988년_하계_올림픽'의 개회선언은(는) 누가 했나요?	1988년_하계_올림픽'의 개회선언은(는) 노태우이(가) 했어요.	누가 1988년 하계 올림픽의 개회선언을 했나요?	하계 올림픽의 개회선언은 노태우가 1988년에 했어요.	노태우	개회선언	1988년_하계_올림픽	141	'1988년_하계_올림픽'의 개회선언은(는) 누가 했나요?	누가 1988년 하계 올림픽의 개회선언을 했나요?	1109	"O,O,O"
게르하르트_호흐실트'의 출생지는 어디인가요?	게르하르트_호흐실트'의 출생지는 베를린(이)에요.	게르하르트 호흐실트는 어디서 태어났나요?	게르하르트 호흐실트가 태어난 곳은 베를린이에요.	베를린	출생지	게르하르트_호흐실트	323	게르하르트_호흐실트'의 출생지는 베를린(이)에요.	게르하르트 호흐실트가 태어난 곳은 베를린이에요.	2550	"O,O,O"
갠지스_강'은(는) 어디에 있나요?	갠지스_강'은(는) 방글라데시에 있어요.	갠지스 강이 흐르고 있는 곳이 어디인가요?	갠지스 강이 흐르고 있는 곳은 방글라데시에요.	방글라데시	국가	갠지스_강	231	갠지스_강'은(는) 어디에 있나요?	갠지스 강이 흐르고 있는 곳이 어디인가요?	1819	"O,O,O"
경민대학교'의 설립 시기는 언제인가요?	경민대학교'의 설립 시기는 1990년이에요.	경민대학교의 설립은 언제인가요?	경민대학교의 설립은 1990년이에요.	1990	설립 시기	경민대학교	379	경민대학교'의 설립 시기는 1990년이에요.	경민대학교의 설립은 1990년이에요.	2990	"O,O,O"
강감찬'의 출생지은(는) 어디인가요?	'강감찬'의 출생지은(는) 낙성대(이)에요.	강감찬은 어디서 태어났어요?	낙성대는 강감찬의 출생지예요	낙성대	출생지	강감찬	136	'강감찬'의 출생지은(는) 낙성대(이)에요.	낙성대는 강감찬의 출생지예요	1072	"O,O,O"
'가이_칼튼'은(는) 수상내역(으)로 무엇이 있나요?	가이_칼튼'은(는) 수상내역(으)로 바스_훈장이(가) 있어요.	가이_칼튼이 수상한 훈장은 무엇인가요?	가이_갈튼이 수상한 훈장은 바스_훈장이에요	바스_훈장	수상내역	가이_칼튼	91	'가이_칼튼'은(는) 수상내역(으)로 무엇이 있나요?	가이_칼튼이 수상한 훈장은 무엇인가요?	723	"X,A,A"
'가족시네마_(2012년_영화)'의 개봉 시기은(는) 언제인가요?	'가족시네마_(2012년_영화)'의 개봉 시기은(는) 2012년(이)에요.	가족시네마가 개봉한 때는 언제인가요?	가족시네마는 2012년에 개봉했어요.	2012년	개봉 시기	가족시네마_(2012년_영화)	8	'가족시네마_(2012년_영화)'의 개봉 시기은(는) 언제인가요?	가족시네마가 개봉한 때는 언제인가요?	59	"O,O,O"
'갠지스_강'의 발원국은(는) 어디인가요?	'갠지스_강'의 발원국은(는) 인도(이)에요.	갠지스 강이 시작되는 나라는 어디에요?	인도는 갠지스 강이 시작되는 나라에요.	인도	발원국	갠지스_강	251	'갠지스_강'의 발원국은(는) 인도(이)에요.	인도는 갠지스 강이 시작되는 나라에요.	1984	"O,O,O"
가이_칼튼'의 출생지은(는) 어디인가요?	'가이_칼튼'의 출생지은(는) 티론_주(이)에요.	가이 칼튼은 어디에서 태어났어요?	티론 주는 가이 칼튼의 출생지예요.	티론_주	출생지	가이_칼튼	133	'가이_칼튼'의 출생지은(는) 티론_주(이)에요.	티론 주는 가이 칼튼의 출생지예요.	1044	"O,O,O"
'3일낮_3일밤'의 등급은(는) 무엇인가요?	'3일낮_3일밤'의 등급은(는) 청소년 관람불가(이)에요.	3일낮 3일밤은 누가 관람할 수 있나요?	3일낮 3일밤은 청소년 이상만 관람할 수 있어요.	청소년 관람불가	등급	3일낮_3일밤	31	'3일낮_3일밤'의 등급은(는) 청소년 관람불가(이)에요.	3일낮 3일밤은 청소년 이상만 관람할 수 있어요.	242	"X,X,X"
'김영옥_(군인)'은(는) 수상내역(으)로 무엇이 있나요?	김영옥_(군인)'은(는) 수상내역(으)로 수훈_십자장_(미국)이(가) 있어요.	김영옥 (군인)은 어떤 상을 수상했나요?	김영옥 (군인)은 미국의 수훈 십자장을 받았어요.	수훈_십자장_(미국)	수상내역	김영옥_(군인)	99	'김영옥_(군인)'은(는) 수상내역(으)로 무엇이 있나요?	김영옥 (군인)은 어떤 상을 수상했나요?	789	"O,O,O"
김두종_(의학자)'은(는) 수상내역으로 무엇이 있나요?	김두종_(의학자)'은(는) 수상내역으로 대한민국의_훈장이(가) 있어요.	김두종 의학자는 수상 내역으로 무엇인가요?	김두종 의학자는 수상내역으로 대한민국의 훈장을 받았어요.	대한민국의_훈장	수상내역	김두종_(의학자)	409	김두종_(의학자)'은(는) 수상내역으로 대한민국의_훈장이(가) 있어요.	김두종 의학자는 수상내역으로 대한민국의 훈장을 받았어요.	3226	"O,O,O"
'니즈냐야퉁구스카_강'의 하구은(는) 어디인가요?	'니즈냐야퉁구스카_강'의 하구은(는) 예니세이_강(이)에요.	니즈냐야퉁구스카 강은 어디로 흘러들어가나요?	니즈냐야퉁구스카 강은 예니세이 강으로 흘러들어가요.	예니세이_강	하구	니즈냐야퉁구스카_강	275	'니즈냐야퉁구스카_강'의 하구은(는) 예니세이_강(이)에요.	니즈냐야퉁구스카 강은 예니세이 강으로 흘러들어가요.	2170	"O,A,O"
무라카미_하루키'의 출생지는 어디인가요?	무라카미_하루키'의 출생지는 교토_부(이)에요.	무라카미_하루키가 태어난 곳은 어디인가요?	무라카미_하루키는 교토_부에서 태어났어요.	교토_부	출생지	무라카미_하루키	450	무라카미_하루키'의 출생지는 교토_부(이)에요.	무라카미_하루키는 교토_부에서 태어났어요.	3554	"O,O,O"
백승탁'은(는) 수상내역으로 무엇이 있나요?	백승탁'은(는) 수상내역으로 국민포장이(가) 있어요.	백승탁은 어떤 상을 받았나요?	백승탁은 국민포장을 수상했어요.	국민포장	수상내역	백승탁	402	백승탁'은(는) 수상내역으로 무엇이 있나요?	백승탁은 어떤 상을 받았나요?	3171	"O,O,O"
'도루_강'의 발원지은(는) 어디인가요?	'도루_강'의 발원지은(는) 피코스데우르비온(이)에요.	도루 강은 어디에서 시작하나요?	도루 강이 시작하는 곳은 피코스데우르비온이에요	피코스데우르비온	발원지	도루_강	267	'도루_강'의 발원지은(는) 피코스데우르비온(이)에요.	도루 강이 시작하는 곳은 피코스데우르비온이에요	2108	"O,O,O"
무라카미_하루키'의 작품 장르는 무엇인가요?	무라카미_하루키'의 작품 장르는 SF_(장르)(이)에요.	작가 무라카미 하루키의 작품은 무슨 장르인가요?	작품의 장르는 SF장르에요.	SF_(장르)	장르	무라카미_하루키	421	무라카미_하루키'의 작품 장르는 SF_(장르)(이)에요.	작품의 장르는 SF장르에요.	3324	"X,X,X"
건국대학교'의 설립 시기는 언제인가요?	건국대학교'의 설립 시기는 1931년이에요.	'건국대학교'는 언제 설립되었나요?	'건국대학교'는 1931년에 설립되었어요	1931	설립 시기	건국대학교	374	건국대학교'의 설립 시기는 언제인가요?	'건국대학교'는 언제 설립되었나요?	2953	"O,O,O"
'니즈냐야퉁구스카_강'의 발원지은(는) 어디인가요?	'니즈냐야퉁구스카_강'의 발원지은(는) 중앙_시베리아_고원(이)에요.	'나즈냐야퉁구스카_강'은 어디에서부터 시작되었나요?	'나즈냐야퉁구스카_강'은 중앙_시베리아_고원에서 시작되었어요	중앙_시베리아_고원	발원지	니즈냐야퉁구스카_강	265	'니즈냐야퉁구스카_강'의 발원지은(는) 중앙_시베리아_고원(이)에요.	'나즈냐야퉁구스카_강'은 중앙_시베리아_고원에서 시작되었어요	2094	"O,O,O"
'경기대학교'의 표어은(는) 무엇인가요?	'경기대학교'의 표어은(는) 진리를 탐구하고 성실하게 책무를 수행하며(이)에요.	경기대학교의 슬로건은 무엇인가요?	경기대학교의 슬로건은 진리를 탐구하고 성실하게 책무를 수행하며에요.	진리를 탐구하고 성실하게 책무를 수행하며	표어	경기대학교	397	"'경기대학교'의 표어은(는) ""진리를 탐구하고 성실하게 책무를 수행하며(이)에요."	경기대학교의 슬로건은 진리를 탐구하고 성실하게 책무를 수행하며에요.	3130	"O,O,O"
'강순'의 최종계급은(는) 무엇인가요?	'강순'의 최종계급은(는) 품계:정1품 대광보국숭록대부(이)에요.	강순의 마지막 계급이 무엇인가요?	강순의 마지막 계급은 정1품 대광보국숭록대부이었어요.	품계:정1품 대광보국숭록대부	최종계급	강순	128	'강순'의 최종계급은(는) 품계:정1품 대광보국숭록대부(이)에요.	강순의 마지막 계급은 정1품 대광보국숭록대부이었어요.	1006	"O,O,O"
강감찬'의 출생지은(는) 어디인가요?	'강감찬'의 출생지은(는) 금주(이)에요.	강감찬의 탄생하였던 지역은 어디인가요?	강감찬의 탄생지는 금주에요.	금주	출생지	강감찬	135	'강감찬'의 출생지은(는) 금주(이)에요.	강감찬의 탄생지는 금주에요.	1060	"O,O,O"
'류선우'의 종교은(는) 무엇인가요?	'류선우'의 종교은(는) 개신교(이)에요.	류선우의 종교는 어떻게 되나요?	류선우의 종교는 개신교예요.	개신교	종교	류선우	433	'류선우'의 종교은(는) 무엇인가요?	류선우의 종교는 어떻게 되나요?	3417	"O,O,O"
'가이_칼튼'의 최종계급은(는) 무엇인가요?	'가이_칼튼'의 최종계급은(는) 영국군 소장(이)에요.	가이 칼튼의 마지막 계급은 무엇인가요?	가이 칼튼의 마지막 계급은 영국군 소장이에요.	영국군 소장	최종계급	가이_칼튼	121	'가이_칼튼'의 최종계급은(는) 영국군 소장(이)에요.	가이 칼튼의 마지막 계급은 영국군 소장이에요.	958	"O,O,O"
'데니스_설리번'의 직업은(는) 무엇인가요?	'데니스_설리번'의 직업은(는) 수학자(이)에요.	데니스_설리번이 하는 일은 무엇인가요?	데니스_설리번은 직업으로 수학을 연구해요.	수학자	직업	데니스_설리번	315	'데니스_설리번'의 직업은(는) 무엇인가요?	데니스_설리번이 하는 일은 무엇인가요?	2491	"O,O,O"
'뉴욕'의 별명은(는) 무엇인가요?	'뉴욕'의 별명은(는) 세계의 수도(이)에요.	뉴욕은 어떤 다른 이름을 가졌나요?	세계의 수도가 뉴욕의 별명이에요.	세계의 수도	별명	뉴욕	219	'뉴욕'의 별명은(는) 무엇인가요?	뉴욕은 어떤 다른 이름을 가졌나요?	1727	"O,O,O"
2002년_동계_올림픽'의 개최 도시은(는) 어디인가요?	2002년_동계_올림픽'의 개최 도시은(는) 솔트레이크시티(이)에요.	2002년_동계_올림픽은 어디에서 개최 되나요?	솔트레이크시티에서 2002년_동계_올림픽이 개최돼요.	솔트레이크시티	개최 도시	2002년_동계_올림픽	160	2002년_동계_올림픽'의 개최 도시은(는) 솔트레이크시티(이)에요.	솔트레이크시티에서 2002년_동계_올림픽이 개최돼요.	1256	"O,O,O"
가진것_없소이다'은(는) 어느 나라 영화인가요?	가진것_없소이다'은(는) 대한민국의 영화예요.	어는 나라가 가진것 없소이다를 제작하였나요?	한국이 가진것 없소이다를 제작하였어요.	대한민국	국가	가진것_없소이다	26	가진것_없소이다'은(는) 어느 나라 영화인가요?	어는 나라가 가진것 없소이다를 제작하였나요?	207	"O,O,O"
'강근호'의 직업은(는) 무엇인가요?	'강근호'의 직업은(는) 군인(이)에요.	강근호는 무슨 일을 하나요?	군인은 강근호의 직업이에요.	군인	직업	강근호	101	'강근호'의 직업은(는) 군인(이)에요.	군인은 강근호의 직업이에요.	808	"O,O,O"
게릿_버슈'의 출생지는 어디인가요?	게릿_버슈'의 출생지는 케이프타운(이)에요.	게릿 버슈는 어디서 태어났나요?	게릿 버슈가 태어난 곳은 케이프타운이에요.	케이프타운	출생지	게릿_버슈	324	게릿_버슈'의 출생지는 케이프타운(이)에요.	게릿 버슈가 태어난 곳은 케이프타운이에요.	2558	"O,O,O"
'구_요도_강'의 발원지은(는) 어디인가요?	'구_요도_강'의 발원지은(는) 게마 수문(이)에요.	'구 요도 강'이 시작되는 곳은 어디인가요?	'구 요도 강'이 시작되는 곳은 게마 수문이에요.	게마 수문	발원지	구_요도_강	262	'구_요도_강'의 발원지은(는) 어디인가요?	'구 요도 강'이 시작되는 곳은 어디인가요?	2069	"O,O,O"
'UCLA_데이비드_게펜_의과대학'의 표어은(는) 무엇인가요?	'UCLA_데이비드_게펜_의과대학'의 표어은(는) Fiat lux(이)에요.	UCLA_데이비드_게펜_의과대학이 추구하는 슬로건은 무엇인가요?	UCLA_데이비드_게펜_의과대학이 추구하는 슬로건은 Fiat lux에요.	Fiat lux	표어	UCLA_데이비드_게펜_의과대학	391	'UCLA_데이비드_게펜_의과대학'의 표어은(는) 무엇인가요?	UCLA_데이비드_게펜_의과대학이 추구하는 슬로건은 무엇인가요?	3087	"O,O,O"
'경기대학교'의 총장은(는) 누구인가요?	'경기대학교'의 총장은(는) 김기언(이)에요.	경기대학교의 학교장 이름은 무엇인가요?	경기대학교의 학교장 이름은 김기언이에요.	김기언	총장	경기대학교	386	'경기대학교'의 총장은(는) 누구인가요?	경기대학교의 학교장 이름은 무엇인가요?	3045	"O,O"
필립_K._딕'의 작품 장르는 무엇인가요?	필립_K._딕'의 작품 장르는 과학_소설(이)에요.	필립K.딕이 쓰는 소설의 종류는 무엇인가요?	과학 소설이 필립K.딕이 쓴느 작품 장르에요.	과학_소설	장르	필립_K._딕	425	필립_K._딕'의 작품 장르는 무엇인가요?	필립K.딕이 쓰는 소설의 종류는 무엇인가요?	3359	"O,O,O"
'고다이라_구니히코'은(는) 수상내역(으)로 무엇이 있나요?	고다이라_구니히코'은(는) 수상내역(으)로 필즈상이 있어요.	고다이라 구니히코는 어떤 내역으로 수상했나요?	필즈상이 고다이라 구니히코의 수상내역이에요.	필즈상	수상내역	고다이라_구니히코	294	고다이라_구니히코'은(는) 수상내역(으)로 필즈상이 있어요.	필즈상이 고다이라 구니히코의 수상내역이에요.	2318	"O,O,O"
나일_강'은(는) 어디에 있나요?	나일_강'은(는) 우간다에 있어요.	나일 강이 있는 곳은 어디에요?	우간다에는 나일강이 있어요.	우간다	국가	나일_강	238	나일_강'은(는) 우간다에 있어요.	우간다에는 나일강이 있어요.	1880	"O,O,O"
나일_강'은(는) 어디에 있나요?	나일_강'은(는) 우간다에 있어요.	나일 강이 있는 곳은 어디에요?	우간다에는 나일강이 있어요.	우간다	국가	나일_강	238	나일_강'은(는) 어디에 있나요?	나일 강이 있는 곳은 어디에요?	1879	"O,O,O"
'2012년_하계_올림픽'의 참가선수은(는) 얼마나 되나요?	'2012년_하계_올림픽'의 참가선수은(는) 10768명(이)에요.	2012년 하계 올림픽의 참가선수는 어떻게 되나요?	2012년 하계 올림픽의 참가선수는 10768명이예요.`	10768명	참가선수	2012년_하계_올림픽	183	'2012년_하계_올림픽'의 참가선수은(는) 얼마나 되나요?	2012년 하계 올림픽의 참가선수는 어떻게 되나요?	1437	"O,A,A"
'뉴욕'의 면적은(는) 얼마나 되나요?	'뉴욕'의 면적은(는) 1214.4km^2(이)에요.	뉴욕시의 크기는 얼마인가요?	뉴욕의 크기는 1214.4㎢에요.	1214.4km^2	면적	뉴욕	206	'뉴욕'의 면적은(는) 얼마나 되나요?	뉴욕시의 크기는 얼마인가요?	1621	"O,O,O"
강근호'은(는) 어디에서 복무했나요?	강근호'의 대한민국_육군에서 복무했어요.	어디에서 강근호가 복무했어요?	대한민국의 육군에서 강근호가 복무 했어요.	대한민국_육군	복무	강근호	74	강근호'은(는) 어디에서 복무했나요?	어디에서 강근호가 복무했어요?	587	"O,O,O"
'경남과학기술대학교'의 총장은(는) 누구인가요?	'경남과학기술대학교'의 총장은(는) 권진택(이)에요.	경남과학기술대학교의 총장은 누구예요?	경남과학기술대학교의 총장은 권진택이예요.	권진택	총장	경남과학기술대학교	387	'경남과학기술대학교'의 총장은(는) 누구인가요?	경남과학기술대학교의 총장은 누구예요?	3053	"O,O,O"
경인교육대학교'은 어느 도시에 있나요?	경인교육대학교'은(는) 인천광역시에 있어요.	어느 도시에 경인교육대학교가 있나요?	경인교욱대학교가 있는 곳이 인천광역시예요.	인천광역시	도시	경인교육대학교	359	경인교육대학교'은(는) 인천광역시에 있어요.	경인교욱대학교가 있는 곳이 인천광역시예요.	2836	"O,O"
'그_남자의_책_198쪽'의 주연은(는) 누구인가요?	'그_남자의_책_198쪽'의 주연은(는) 유진(이)에요.	그 남자의 책 198쪽에서는 누가 주인공을 했나요?	그 남자의 책 198쪽의 주인공은 유진이에요.	유진	주연	그_남자의_책_198쪽	51	'그_남자의_책_198쪽'의 주연은(는) 누구인가요?	그 남자의 책 198쪽에서는 누가 주인공을 했나요?	407	"O,O,O"
'2010년_동계_올림픽'의 모토은(는) 무엇인가요?	'2010년_동계_올림픽'의 모토은(는) 뜨거운 가슴으로(이)에요.	'2010년 동계 올림픽'이 모토로 내세운 것은 무엇인가요?	'2010년 동계 올림픽'이 모토로 삼는 것은 뜨거운 가슴으로예요	뜨거운 가슴으로	모토	2010년_동계_올림픽	164	'2010년_동계_올림픽'의 모토은(는) 무엇인가요?	'2010년 동계 올림픽'이 모토로 내세운 것은 무엇인가요?	1289	"O,O,O"
'도나우_강'의 발원지은(는) 어디인가요?	'도나우_강'의 발원지은(는) 브레그_강(이)에요.	도나우 강이 시작되는 곳은 어디인가요?	도나우 강은 브레그 강으로부터 시작돼요.	브레그_강	발원지	도나우_강	266	'도나우_강'의 발원지은(는) 브레그_강(이)에요.	도나우 강은 브레그 강으로부터 시작돼요.	2102	"O,O,O"
게르하르트_호흐실트'은(는) 어디 소속인가요?	게르하르트_호흐실트' 일리노이_대학교_어배너-섐페인 소속이에요.	'게르하르트 호흐실트'가 소속되어 있는 곳은 어디인가요?	'게르하르트 호흐실트'의 소속은 일리노이 대학교 어배너 섐페인이에요	일리노이_대학교_어배너-섐페인	소속	게르하르트_호흐실트	281	게르하르트_호흐실트' 일리노이_대학교_어배너-섐페인 소속이에요.	'게르하르트 호흐실트'의 소속은 일리노이 대학교 어배너 섐페인이에요	2216	"O,O,O"
'김영옥_(군인)'은(는) 수상내역(으)로 무엇이 있나요?	김영옥_(군인)'은(는) 수상내역(으)로 무공훈장이(가) 있어요.	무엇이 김영옥 군인의 수상내역인가요?	김영옥 군인은 무공훈장이 수상내역이예요.	무공훈장	수상내역	김영옥_(군인)	98	'김영옥_(군인)'은(는) 수상내역(으)로 무엇이 있나요?	무엇이 김영옥 군인의 수상내역인가요?	783	"O,O,O"
'디트로이트'의 면적은(는) 얼마나 되나요?	'디트로이트'의 면적은(는) 142.87km^2(이)에요.	디트로이트의 면적은 얼마나 넓을까요?	디트로이트는 142.87㎢의 땅으로 이루어져 있어요.	142.87km^2	면적	디트로이트	208	'디트로이트'의 면적은(는) 142.87km^2(이)에요.	디트로이트는 142.87㎢의 땅으로 이루어져 있어요.	1644	"O,O,O"
'노태원'의 직업은(는) 무엇인가요?	'노태원'의 직업은(는) 물리학자(이)에요.	노태원은 무슨 일을 하나요?	노태원은 물리학을 연구하는 학자에요.	물리학자	직업	노태원	314	'노태원'의 직업은(는) 무엇인가요?	노태원은 무슨 일을 하나요?	2477	"O,O,O"
'건국대학교'의 총장은(는) 누구인가요?	'건국대학교'의 총장은(는) 송희영(이)에요.	건국대학교를 대표하는 기관장은 누구인가요?	건국대학교를 대표하는 기관장은 송희영이에요.	송희영	총장	건국대학교	383	'건국대학교'의 총장은(는) 누구인가요?	건국대학교를 대표하는 기관장은 누구인가요?	3027	"A,O,O"
'1998년_동계_올림픽'의 개회선언은(는) 누가 했나요?	1998년_동계_올림픽'의 개회선언은(는) 아키히토이(가) 했어요.	누가 1990년 동계 올림픽의 개회선언을 했나요?	개회선언은 아키히토이가 1998년 동계 올림픽에서 했어요.	아키히토	개회선언	1998년_동계_올림픽	146	'1998년_동계_올림픽'의 개회선언은(는) 누가 했나요?	누가 1990년 동계 올림픽의 개회선언을 했나요?	1143	"X,O"
강감찬'의 출생지은(는) 어디인가요?	'강감찬'의 출생지은(는) 고려(이)에요.	강감찬이 태어난 곳이 어디인가요?	강감찬이 태어난 곳은 고려예요.	고려	출생지	강감찬	134	'강감찬'의 출생지은(는) 고려(이)에요.	강감찬이 태어난 곳은 고려예요.	1054	"O,O,O"
'2016년_하계_올림픽'의 참가선수은(는) 얼마나 되나요?	'2016년_하계_올림픽'의 참가선수은(는) 11303명(이)에요.	2016년 하계올림픽에 선수로 참가한 인원은 몇 명인가요?	2016년 하계 올림픽에 선수로 참가한 인원은 11303명이예요.	11303명	참가선수	2016년_하계_올림픽	185	'2016년_하계_올림픽'의 참가선수은(는) 11303명(이)에요.	2016년 하계 올림픽에 선수로 참가한 인원은 11303명이예요.	1460	"O,O,O"
녹스빌'은(는) 어느 나라에 있나요?	녹스빌'은(는) 미국에 있어요.	녹스빌이 있는 나라는 어디예요?	미국이 녹스빌이 있는 곳이에요.	미국	국가	녹스빌	194	녹스빌'은(는) 어느 나라에 있나요?	녹스빌이 있는 나라는 어디예요?	1531	"O,O,O"
'2014년_동계_올림픽'의 개회선언은(는) 누가 했나요?	2014년_동계_올림픽'의 개회선언은(는) 블라디미르_푸틴이(가) 했어요.	누가 '2014년 동계 올림픽'의 개회선언을 했나요?	블라디미르 푸틴이 '2014년 동계 올림픽'의 개회선언을 했어요	블라디미르_푸틴	개회선언	2014년_동계_올림픽	144	'2014년_동계_올림픽'의 개회선언은(는) 누가 했나요?	누가 '2014년 동계 올림픽'의 개회선언을 했나요?	1127	"O,O,O"
'1996년_하계_올림픽'의 참가국은(는) 얼마나 되나요?	'1996년_하계_올림픽'의 참가국은(는) 197개국(이)에요.	1996년 하계 올림픽에 참가한 나라는 총 몇 개국 인가요?	1996년 하계 올림픽에 참가한 나라의 수는 197개국 이에요.	197개국	참가국	1996년_하계_올림픽	173	'1996년_하계_올림픽'의 참가국은(는) 197개국(이)에요.	1996년 하계 올림픽에 참가한 나라의 수는 197개국 이에요.	1358	"O,O,O"
가이_칼튼'의 출생지은(는) 어디인가요?	'가이_칼튼'의 출생지은(는) 아일랜드_섬(이)에요.	가이 칼튼이 태어난 곳은 어디인가요?	가이 칼튼이 태어난 곳은 아일랜드 섬이에요.	아일랜드_섬	출생지	가이_칼튼	132	가이_칼튼'의 출생지은(는) 어디인가요?	가이 칼튼이 태어난 곳은 어디인가요?	1035	"O,O,O"
나일_강'은(는) 어디에 있나요?	나일_강'은(는) 에티오피아에 있어요.	나일강이 있는 곳은 어디인가요?	나일강이 위치한 나라는 에티오피아에요.	에티오피아	국가	나일_강	237	나일_강'은(는) 에티오피아에 있어요.	나일강이 위치한 나라는 에티오피아에요.	1870	"O,O,O"
'디트로이트'의 인구은(는) 얼마나 되나요?	'디트로이트'의 인구은(는) 681090명(이)에요.	디트로이트에는 몇명의 사람이 사나요?	디트로이트에 사는 사람은 681090명이에요.	681090명	인구	디트로이트	228	'디트로이트'의 인구은(는) 얼마나 되나요?	디트로이트에는 몇명의 사람이 사나요?	1793	"O,O,O"
'2016년_동계_청소년_올림픽'의 모토은(는) 무엇인가요?	'2016년_동계_청소년_올림픽'의 모토은(는) 나아가자. 내일을 만들자.(이)에요.	2016년 동계 청소년 올림픽의 표어는 무엇인가요?	2016년 동계 청소년 올림픽의 표어는 나아가자. 내일을 만들자에요.	나아가자. 내일을 만들자.	모토	2016년_동계_청소년_올림픽	162	'2016년_동계_청소년_올림픽'의 모토은(는) 무엇인가요?	2016년 동계 청소년 올림픽의 표어는 무엇인가요?	1269	"O,O,O"
류선우'의 출생지는 어디인가요?	류선우'의 출생지는 경상북도(이)에요.	류선우의 어디에서 출생하였나요?	류선우의 출생지는 경상북도에요.	경상북도	출생지	류선우	446	류선우'의 출생지는 어디인가요?	류선우의 어디에서 출생하였나요?	3523	"O,O,O"
백승탁'은(는) 수상내역으로 무엇이 있나요?	백승탁'은(는) 수상내역으로 대한민국이(가) 있어요.	백승탁이 수상받은 내역은 어떤게 있나요?	백승탁은 대한민국으로 수상했어요.	대한민국	수상내역	백승탁	407	백승탁'은(는) 수상내역으로 대한민국이(가) 있어요.	백승탁은 대한민국으로 수상했어요.	3216	"O,O,X"
강감찬'의 출생지은(는) 어디인가요?	'강감찬'의 출생지은(는) 금주(이)에요.	강감찬의 탄생하였던 지역은 어디인가요?	강감찬의 탄생지는 금주에요.	금주	출생지	강감찬	135	강감찬'의 출생지은(는) 어디인가요?	강감찬의 탄생하였던 지역은 어디인가요?	1059	"O,O,O"
'뉴욕'의 면적은(는) 얼마나 되나요?	'뉴욕'의 면적은(는) 1214.4km^2(이)에요.	뉴욕 면적의 크키는 어떻게 되나요?	"뉴욕시 면적은 1,214.40㎢에요."	1214.4km^2	면적	뉴욕	206	'뉴욕'의 면적은(는) 1214.4km^2(이)에요.	"뉴욕시 면적은 1,214.40㎢에요."	1624	"O,O,O"
'곽영주'의 직업은(는) 무엇인가요?	'곽영주'의 직업은(는) 공무원(이)에요.	'곽영주'는 어떤 직업을 갖고있나요?	공무원이 곽영주의 직업이에요	공무원	직업	곽영주	105	'곽영주'의 직업은(는) 공무원(이)에요.	공무원이 곽영주의 직업이에요	834	"O,O,O"
'게르하르트_바르크호른'의 최종계급은(는) 무엇인가요?	'게르하르트_바르크호른'의 최종계급은(는) 국방군:(이)에요.	게르하르트 바르크호른의 어느정도 계급까지 올랐나요?	최종계급은 국방군이에요.	국방군:	최종계급	게르하르트_바르크호른	130	'게르하르트_바르크호른'의 최종계급은(는) 국방군:(이)에요.	최종계급은 국방군이에요.	1020	"X,X,X"
'강문봉'의 직업은(는) 무엇인가요?	'강문봉'의 직업은(는) 외교관(이)에요.	강문봉이 하는 일은 무엇인가요?	강문봉이 하는 일은 외교관이에요.	외교관	직업	강문봉	103	'강문봉'의 직업은(는) 외교관(이)에요.	강문봉이 하는 일은 외교관이에요.	824	"O,O,O"
'강순'은(는) 기타이력(으)로 무엇이 있나요?	"강순'은(는) 기타이력(으)로 원종공신 2등, 정충출기포의적개공신 1등, 신천부원군, 의정부영의정, 시호는 장민이(가) 있어요."	강순의 어떤 다른 이력사항이 있나요?	"강순은 정충출기포의적개공신 1등, 원종공신 2등, 신천부원군, 의정부영의정으로서의 경력도 있어요."	"원종공신 2등, 정충출기포의적개공신 1등, 신천부원군, 의정부영의정, 시호는 장민"	기타이력	강순	66	'강순'은(는) 기타이력(으)로 무엇이 있나요?	강순의 어떤 다른 이력사항이 있나요?	521	"O,O,O"
'건국대학교'의 총장은(는) 누구인가요?	'건국대학교'의 총장은(는) 송희영(이)에요.	'건국대학교'를 대표하는 학교장은 누구인가요?	송희영이 '건국대학교'의 총장이에요.	송희영	총장	건국대학교	383	'건국대학교'의 총장은(는) 송희영(이)에요.	송희영이 '건국대학교'의 총장이에요.	3022	"O,O,O"
'김빛내리'의 연구분야은(는) 무엇인가요?	"'김빛내리'의 연구분야은(는) 생화학,_분자생물학(이)에요."	어느 분야에서 김빛내리가 연구하나요?	"생화학, 분자생물학 분야에서 김빛내리가 연구하고 있어요."	"생화학,_분자생물학"	연구분야	김빛내리	310	"'김빛내리'의 연구분야은(는) 생화학,_분자생물학(이)에요."	"생화학, 분자생물학 분야에서 김빛내리가 연구하고 있어요."	2448	"O,O,O"
김책'의 생일은(는) 언제인가요?	'김책'의 생일은(는) 1903-08-14(이)에요.	김책이 태어난 날을 알려주세요.	김책이 태어난 날은 1903-08-14 이에요.	1903.8.14	생일	김책	85	김책'의 생일은(는) 언제인가요?	김책이 태어난 날을 알려주세요.	673	"O,O,O"
